run_id,pipeline_profile,provider,model,prompt_version,article_id,symbol,session_date,session_label,sentiment_score,relevance_score,factor_vector,input_tokens,output_tokens,estimated_cost_usd
run-000002,high_recall,mixed,mixed,v1,coforge-2025-06-10,COFORGE,2025-06-09,during_session,0.65,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",632,1103,0.0002522
run-000002,high_recall,mixed,mixed,v1,hcltech-2025-06-10,HCLTECH,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",644,1319,0.00029600000000000004
run-000002,high_recall,mixed,mixed,v1,infy-2025-06-10,INFY,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",629,1196,0.00027065
run-000002,high_recall,mixed,mixed,v1,ltim-2025-06-10,LTIM,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",623,1104,0.00025195
run-000002,high_recall,mixed,mixed,v1,mphasis-2025-06-10,MPHASIS,2025-06-09,during_session,0.65,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",629,1178,0.00026705
run-000002,high_recall,mixed,mixed,v1,ofss-2025-06-10,OFSS,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",629,600,0.00015145
run-000002,high_recall,mixed,mixed,v1,persistent-2025-06-10,PERSISTENT,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",632,666,0.00016480000000000002
run-000002,high_recall,mixed,mixed,v1,tcs-2025-06-10,TCS,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",614,1100,0.0002507
run-000002,high_recall,mixed,mixed,v1,techm-2025-06-10,TECHM,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",617,1195,0.00026985
run-000002,high_recall,mixed,mixed,v1,wipro-2025-06-10,WIPRO,2025-06-09,during_session,0.75,0.676923076923077,"[""ai-capex"", ""ai-regulation"", ""ai-demand"", ""ai-cost-pressure"", ""ai-talent""]",632,1176,0.0002668
